Provinsi,NamaKab/Kota,Jamban Bersama/Umum,Jamban Sendiri,Tidak ada
KALIMANTAN SELATAN,TANAH BUMBU,2973,11036,2748
KALIMANTAN SELATAN,TANAH LAUT,5655,9036,2907
KALIMANTAN SELATAN,TAPIN,4070,1463,900
KALIMANTAN TENGAH,BARITO SELATAN,4430,1634,1048
KALIMANTAN TENGAH,BARITO TIMUR,1291,2453,1374
KALIMANTAN TENGAH,BARITO UTARA,2654,2616,1970
KALIMANTAN TENGAH,GUNUNG MAS,752,252,439
KALIMANTAN TENGAH,KAPUAS,15484,8477,6637
KALIMANTAN TENGAH,KATINGAN,5856,3357,15
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,2140,6627,375
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,2540,6159,1143
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,11050,10737,6273
KALIMANTAN TENGAH,LAMANDAU,1144,1263,718
KALIMANTAN TENGAH,MURUNG RAYA,2793,659,2239
KALIMANTAN TENGAH,PULANG PISAU,3525,5485,1998
KALIMANTAN TENGAH,SERUYAN,2958,3058,739
KALIMANTAN TENGAH,SUKAMARA,658,1167,810
KALIMANTAN TIMUR,BERAU,530,5163,2276
KALIMANTAN TIMUR,KOTA BALIKPAPAN,2461,21563,669
KALIMANTAN TIMUR,KOTA BONTANG,995,6103,342
KALIMANTAN TIMUR,KOTA SAMARINDA,3815,22758,741
KALIMANTAN TIMUR,KUTAI BARAT,2914,4680,2556
KALIMANTAN TIMUR,KUTAI KARTANEGARA,6347,26140,3332
KALIMANTAN TIMUR,KUTAI TIMUR,4326,14402,3606
KALIMANTAN TIMUR,MAHAKAM HULU,501,780,832
KALIMANTAN TIMUR,PASER,1436,16284,3706
KALIMANTAN TIMUR,PENAJAM PASER UTARA,1226,7747,1530
KALIMANTAN UTARA,BULUNGAN,709,3575,1111
KALIMANTAN UTARA,KOTA TARAKAN,926,8405,849
KALIMANTAN UTARA,MALINAU,253,2806,1595
KALIMANTAN UTARA,NUNUKAN,2512,5935,4453
KALIMANTAN UTARA,TANA TIDUNG,122,347,224
KEPULAUAN BANGKA BELITUNG,BANGKA,631,10652,3731
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,264,2623,3312
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,510,4487,3048
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,701,7679,1950
KEPULAUAN BANGKA BELITUNG,BELITUNG,1045,5681,3222
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,597,4130,2687
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,454,7878,310
KEPULAUAN RIAU,BINTAN,477,5004,450
KEPULAUAN RIAU,KARIMUN,1067,10496,2206
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,39,627,39
KEPULAUAN RIAU,KOTA BATAM,2329,36864,710
KEPULAUAN RIAU,KOTA TANJUNG PINANG,894,9139,184
KEPULAUAN RIAU,LINGGA,591,5466,1145
KEPULAUAN RIAU,NATUNA,96,1731,753
LAMPUNG,KOTA BANDAR LAMPUNG,17128,59324,4198
LAMPUNG,KOTA METRO,1538,6845,132
LAMPUNG,LAMPUNG BARAT,3235,23930,6280
LAMPUNG,LAMPUNG SELATAN,23982,94631,13521
LAMPUNG,LAMPUNG TENGAH,23954,95848,3098
LAMPUNG,LAMPUNG TIMUR,16006,91335,1775
LAMPUNG,LAMPUNG UTARA,9219,58509,5731
LAMPUNG,MESUJI,3512,18544,167
LAMPUNG,PESAWARAN,8885,34060,18976
LAMPUNG,PESISIR BARAT,2009,8889,8732
LAMPUNG,PRINGSEWU,9315,20375,6802
LAMPUNG,TANGGAMUS,7897,29993,28221
LAMPUNG,TULANG BAWANG BARAT,3514,18777,454
LAMPUNG,TULANGBAWANG,5628,35298,930
LAMPUNG,WAY KANAN,8210,33883,4948
MALUKU,BURU,998,2482,5050
MALUKU,BURU SELATAN,883,1160,3690
MALUKU,KEPULAUAN ARU,2294,701,3705
MALUKU,KOTA AMBON,4194,11793,3079
MALUKU,KOTA TUAL,687,2100,1560
MALUKU,MALUKU BARAT DAYA,1670,3429,4945
MALUKU,MALUKU TENGAH,4363,16755,16414
MALUKU,MALUKU TENGGARA,611,2719,3628
MALUKU,MALUKU TENGGARA BARAT,2667,4061,5022
MALUKU,SERAM BAGIAN BARAT,3758,4781,11290
MALUKU,SERAM BAGIAN TIMUR,380,775,7830
MALUKU UTARA,HALMAHERA BARAT,3020,1588,2555
MALUKU UTARA,HALMAHERA SELATAN,3209,1911,4406
MALUKU UTARA,HALMAHERA TENGAH,1273,1276,1499
MALUKU UTARA,HALMAHERA TIMUR,2129,1548,2600
MALUKU UTARA,HALMAHERA UTARA,3556,1204,1743
MALUKU UTARA,KEPULAUAN SULA,558,1407,2382
MALUKU UTARA,KOTA TERNATE,761,2330,428
MALUKU UTARA,KOTA TIDORE KEPULAUAN,1955,3283,839
MALUKU UTARA,PULAU MOROTAI,965,158,2385
MALUKU UTARA,PULAU TALIABU,214,587,1693
NUSA TENGGARA BARAT,BIMA,12808,17041,32066
NUSA TENGGARA BARAT,DOMPU,5067,7902,17738
NUSA TENGGARA BARAT,KOTA BIMA,6285,4994,4361
NUSA TENGGARA BARAT,KOTA MATARAM,15570,14545,5605
NUSA TENGGARA BARAT,LOMBOK BARAT,21134,28553,53578
NUSA TENGGARA BARAT,LOMBOK TENGAH,28671,55920,78735
NUSA TENGGARA BARAT,LOMBOK TIMUR,49404,83142,87703
NUSA TENGGARA BARAT,LOMBOK UTARA,6299,11975,18247
NUSA TENGGARA BARAT,SUMBAWA,4432,14768,23609
NUSA TENGGARA BARAT,SUMBAWA BARAT,2070,8065,4446
NUSA TENGGARA TIMUR,ALOR,4214,13623,8340
NUSA TENGGARA TIMUR,BELU,4571,10595,5802
NUSA TENGGARA TIMUR,ENDE,7178,13131,7449
NUSA TENGGARA TIMUR,FLORES TIMUR,2737,14373,5012
NUSA TENGGARA TIMUR,KOTA KUPANG,6512,12807,240
NUSA TENGGARA TIMUR,KUPANG,3457,28483,3940
NUSA TENGGARA TIMUR,LEMBATA,1583,13871,1753
NUSA TENGGARA TIMUR,MALAKA,4495,6489,11371
NUSA TENGGARA TIMUR,MANGGARAI,4614,19562,12512
NUSA TENGGARA TIMUR,MANGGARAI BARAT,5273,15147,13796
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,3031,28958,7673
NUSA TENGGARA TIMUR,NAGEKEO,1267,7370,2612
NUSA TENGGARA TIMUR,NGADA,1068,8596,2210
NUSA TENGGARA TIMUR,ROTE NDAO,1243,7197,10171
NUSA TENGGARA TIMUR,SABU RAIJUA,1841,10029,2817
NUSA TENGGARA TIMUR,SIKKA,3630,19413,11198
NUSA TENGGARA TIMUR,SUMBA BARAT,1107,5019,9887
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,1629,24600,19904
NUSA TENGGARA TIMUR,SUMBA TENGAH,326,6702,2423
NUSA TENGGARA TIMUR,SUMBA TIMUR,2392,8642,14825
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,7709,65952,1674
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,3380,23941,4062
PAPUA,ASMAT,1073,1381,9430
PAPUA,BIAK NUMFOR,3279,9759,813
PAPUA,BOVEN DIGOEL,329,738,4279
PAPUA,DEIYAI,5,2947,39
PAPUA,DOGIYAI,298,1476,2809
PAPUA,INTAN JAYA,0,201,5
PAPUA,JAYAPURA,2576,3402,3357
PAPUA,JAYAWIJAYA,686,1169,11291
PAPUA,KEEROM,714,4369,1141
PAPUA,KEPULAUAN YAPEN,3850,3742,474
PAPUA,KOTA JAYAPURA,6344,8928,906
PAPUA,LANNY JAYA,114,2986,2529
PAPUA,MAMBERAMO RAYA,21,285,382
PAPUA,MAMBERAMO TENGAH,13,252,422
PAPUA,MAPPI,1072,2428,6930
PAPUA,MERAUKE,2429,9609,1025
PAPUA,MIMIKA,3107,7102,3043
PAPUA,NABIRE,1504,6086,1694
PAPUA,NDUGA,0,0,0
PAPUA,PANIAI,42,6839,2
PAPUA,PEGUNUNGAN BINTANG,2964,5192,4693
PAPUA,PUNCAK,83,89,11154
PAPUA,PUNCAK JAYA,644,686,5652
PAPUA,SARMI,123,1077,863
PAPUA,SUPIORI,158,1552,322
PAPUA,TOLIKARA,137,169,3980
PAPUA,WAROPEN,427,1132,44
PAPUA,YAHUKIMO,679,47,9250
PAPUA,YALIMO,175,2320,2396
PAPUA BARAT,FAKFAK,2814,4228,1038
PAPUA BARAT,KAIMANA,1942,1155,1427
PAPUA BARAT,KOTA SORONG,5262,6244,468
PAPUA BARAT,MANOKWARI,2544,6527,1675
PAPUA BARAT,MANOKWARI SELATAN,1528,1224,941
PAPUA BARAT,MAYBRAT,2686,1206,338
PAPUA BARAT,PEGUNUNGAN ARFAK,1508,2513,2835
PAPUA BARAT,RAJA AMPAT,2580,1266,460
PAPUA BARAT,SORONG,2850,4602,585
PAPUA BARAT,SORONG SELATAN,1448,261,1629
PAPUA BARAT,TAMBRAUW,1137,510,688
PAPUA BARAT,TELUK BINTUNI,1456,1915,1597
PAPUA BARAT,TELUK WONDAMA,1580,495,491
RIAU,BENGKALIS,1683,24718,2642
RIAU,INDRAGIRI HILIR,4090,23244,13000
RIAU,INDRAGIRI HULU,2952,21526,9386
RIAU,KAMPAR,5583,42310,9578
RIAU,KEPULAUAN MERANTI,1130,19925,2564
RIAU,KOTA DUMAI,1031,14388,463
RIAU,KOTA PEKANBARU,3629,22595,764
