Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri,Listrik PLN,Listrik non-PLN,Tidak ada listrik,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung,Jamban Bersama/Umum,Jamban Sendiri,Tidak Ada Jamban,Bekerja,Tidak Bekerja,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
KALIMANTAN SELATAN,BARITO KUALA,2196,199,15667,16622,220,1329,225,1334,1335,15277,10411,7020,740,26551,38589,15992,4263
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,3043,373,17728,19324,275,1912,599,3014,8908,8990,11376,6912,3223,29570,32603,12502,4284
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,2625,336,23362,23325,798,2408,419,1971,15136,9004,8410,11589,6531,36015,38279,15074,4711
KALIMANTAN SELATAN,HULU SUNGAI UTARA,5038,637,20100,24674,503,823,203,5929,10216,9652,12666,11064,2270,37481,42789,16570,5128
KALIMANTAN SELATAN,KOTA BANJAR BARU,2014,1430,7235,10563,95,123,1200,767,3620,5194,1910,8451,420,13738,21471,8295,1690
KALIMANTAN SELATAN,KOTA BANJARMASIN,8207,7749,20516,36472,94,67,512,35682,62,377,13756,22841,36,46297,78209,27680,6616
KALIMANTAN SELATAN,KOTA BARU,1209,357,13034,8892,2389,3452,457,1700,4296,8280,1675,6072,6986,19423,33908,12719,4885
KALIMANTAN SELATAN,TABALONG,1690,499,16884,17942,494,814,764,3894,4134,10458,3676,11006,4568,30135,26668,11583,3008
KALIMANTAN SELATAN,TANAH BUMBU,1759,927,14022,15121,713,923,2881,1539,2579,9758,2973,11036,2748,20251,33624,11995,2976
KALIMANTAN SELATAN,TANAH LAUT,1822,317,15354,16673,402,523,331,378,4918,11971,5655,9036,2907,20888,33777,12074,3621
