Provinsi,NamaKab/Kota,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung
PAPUA BARAT,KOTA SORONG,3811,1341,3899,2923
PAPUA BARAT,MANOKWARI,635,314,5175,4622
PAPUA BARAT,MANOKWARI SELATAN,8,75,1199,2411
PAPUA BARAT,MAYBRAT,5,7,1522,2696
PAPUA BARAT,PEGUNUNGAN ARFAK,4,5,1216,5631
PAPUA BARAT,RAJA AMPAT,42,75,1795,2394
PAPUA BARAT,SORONG,429,10,926,6672
PAPUA BARAT,SORONG SELATAN,10,12,336,2980
PAPUA BARAT,TAMBRAUW,2,6,1155,1172
PAPUA BARAT,TELUK BINTUNI,228,6,1264,3470
PAPUA BARAT,TELUK WONDAMA,23,0,255,2288
PAPUA BARAT,TOTAL,3475,22005,44862,0
RIAU,BENGKALIS,4055,197,4062,20729
RIAU,INDRAGIRI HILIR,406,33,672,39223
RIAU,INDRAGIRI HULU,7447,1072,10754,14591
RIAU,KAMPAR,10304,1408,34006,11752
RIAU,KEPULAUAN MERANTI,353,25,889,22353
RIAU,KOTA DUMAI,8981,972,3232,2697
RIAU,KOTA PEKANBARU,14751,120,10655,1462
RIAU,KUANTAN SINGINGI,2962,150,9816,6742
RIAU,PELALAWAN,5559,90,5519,8979
RIAU,ROKAN HILIR,6030,369,9692,34404
RIAU,ROKAN HULU,4650,328,15329,9209
RIAU,S I A K,7679,193,5831,8347
RIAU,TOTAL,4957,110457,180488,0
SULAWESI BARAT,MAJENE,709,2510,10728,4157
SULAWESI BARAT,MAMASA,10,191,2524,17993
SULAWESI BARAT,MAMUJU,325,1220,8228,8805
SULAWESI BARAT,MAMUJU TENGAH,160,10,2011,4714
SULAWESI BARAT,MAMUJU UTARA,816,13,4799,4340
SULAWESI BARAT,POLEWALI MANDAR,669,2794,24110,15362
SULAWESI BARAT,TOTAL,6738,52400,55371,0
SULAWESI SELATAN,BANTAENG,191,3451,10596,2600
SULAWESI SELATAN,BARRU,623,1355,12102,2445
SULAWESI SELATAN,BONE,1394,3893,53664,21204
SULAWESI SELATAN,BULUKUMBA,2161,2678,20825,9869
SULAWESI SELATAN,ENREKANG,153,1173,9805,8688
SULAWESI SELATAN,GOWA,5079,1740,51487,11720
SULAWESI SELATAN,JENEPONTO,1964,6222,38171,5252
SULAWESI SELATAN,KEPULAUAN SELAYAR,665,1632,9585,1693
SULAWESI SELATAN,KOTA MAKASSAR,13350,28199,8012,955
SULAWESI SELATAN,KOTA PALOPO,469,2353,2672,1781
SULAWESI SELATAN,KOTA PAREPARE,1302,2581,3108,144
SULAWESI SELATAN,LUWU,814,454,17015,15414
SULAWESI SELATAN,LUWU TIMUR,768,433,8559,8753
SULAWESI SELATAN,LUWU UTARA,927,301,19768,10967
SULAWESI SELATAN,MAROS,2563,1553,13582,12790
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,2994,3358,15011,10724
SULAWESI SELATAN,PINRANG,1071,397,17499,4040
SULAWESI SELATAN,SIDENRENG RAPPANG,537,1565,17269,2059
SULAWESI SELATAN,SINJAI,158,1806,10679,8228
SULAWESI SELATAN,SOPPENG,196,1331,16545,3580
SULAWESI SELATAN,TAKALAR,1134,8531,19994,4479
SULAWESI SELATAN,TANA TORAJA,24,642,11587,12004
SULAWESI SELATAN,TORAJA UTARA,69,903,9193,13500
SULAWESI SELATAN,TOTAL,79141,412430,183394,0
SULAWESI SELATAN,WAJO,1087,2590,15702,10505
SULAWESI TENGAH,BANGGAI,948,2754,18560,12870
SULAWESI TENGAH,BANGGAI KEPULAUAN,156,1655,7864,2516
SULAWESI TENGAH,BANGGAI LAUT,25,591,2785,868
SULAWESI TENGAH,BUOL,571,1418,6064,5348
SULAWESI TENGAH,DONGGALA,336,2199,16860,12901
SULAWESI TENGAH,KOTA PALU,2064,1073,9057,1009
SULAWESI TENGAH,MOROWALI,399,133,6376,3104
SULAWESI TENGAH,MOROWALI UTARA,234,336,4877,4444
SULAWESI TENGAH,PARIGI MOUTONG,1322,1120,23535,18011
SULAWESI TENGAH,POSO,893,2973,13136,7235
SULAWESI TENGAH,SIGI,69,158,12863,8993
SULAWESI TENGAH,TOJO UNA-UNA,73,1896,8961,3423
SULAWESI TENGAH,TOLI-TOLI,302,2566,7214,9167
SULAWESI TENGAH,TOTAL,18872,138152,89889,0
SULAWESI TENGGARA,BOMBANA,637,1167,10578,4182
SULAWESI TENGGARA,BUTON,109,1309,6818,2230
SULAWESI TENGGARA,BUTON SELATAN,27,465,5237,3848
SULAWESI TENGGARA,BUTON TENGAH,157,6672,4130,2005
SULAWESI TENGGARA,BUTON UTARA,172,682,3831,2181
SULAWESI TENGGARA,KOLAKA,599,1039,7747,3712
SULAWESI TENGGARA,KOLAKA TIMUR,83,619,5909,3222
SULAWESI TENGGARA,KOLAKA UTARA,510,4007,7306,4823
SULAWESI TENGGARA,KONAWE,428,776,11170,8493
SULAWESI TENGGARA,KONAWE KEPULAUAN,4,163,4053,1180
SULAWESI TENGGARA,KONAWE SELATAN,103,268,15404,7503
SULAWESI TENGGARA,KONAWE UTARA,72,48,3564,1670
SULAWESI TENGGARA,KOTA BAUBAU,515,5891,5557,631
SULAWESI TENGGARA,KOTA KENDARI,1545,2373,11635,1936
SULAWESI TENGGARA,MUNA,156,2808,14944,7539
SULAWESI TENGGARA,MUNA BARAT,25,172,8401,3007
SULAWESI TENGGARA,TOTAL,29990,129895,59925,0
SULAWESI TENGGARA,WAKATOBI,108,1531,3611,1763
