Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri
JAWA TIMUR,NGANJUK,12810,974,129862
JAWA TIMUR,NGAWI,6207,409,110892
JAWA TIMUR,PACITAN,646,73,53424
JAWA TIMUR,PAMEKASAN,4030,347,119681
JAWA TIMUR,PASURUAN,4742,1425,191026
JAWA TIMUR,PONOROGO,6082,224,103463
JAWA TIMUR,PROBOLINGGO,5429,472,177755
JAWA TIMUR,SAMPANG,4508,127,131453
JAWA TIMUR,SIDOARJO,7171,4886,104549
JAWA TIMUR,SITUBONDO,4527,842,103207
JAWA TIMUR,SUMENEP,3543,412,176204
JAWA TIMUR,TRENGGALEK,2026,43,80870
JAWA TIMUR,TUBAN,3897,467,119255
JAWA TIMUR,TULUNGAGUNG,5906,595,88872
KALIMANTAN BARAT,BENGKAYANG,962,47,16276
KALIMANTAN BARAT,KAPUAS HULU,1398,98,24341
KALIMANTAN BARAT,KAYONG UTARA,228,22,8311
KALIMANTAN BARAT,KETAPANG,2285,413,36492
KALIMANTAN BARAT,KOTA PONTIANAK,4696,1745,15226
KALIMANTAN BARAT,KOTA SINGKAWANG,1894,304,11265
KALIMANTAN BARAT,KUBU RAYA,2742,1315,45827
KALIMANTAN BARAT,LANDAK,1554,256,43884
KALIMANTAN BARAT,MELAWI,1310,84,15757
KALIMANTAN BARAT,MEMPAWAH,1309,249,24156
KALIMANTAN BARAT,SAMBAS,2588,300,38003
KALIMANTAN BARAT,SANGGAU,1288,330,28845
KALIMANTAN BARAT,SEKADAU,353,35,8600
KALIMANTAN BARAT,SINTANG,2337,388,39236
KALIMANTAN SELATAN,BALANGAN,650,55,6720
KALIMANTAN SELATAN,BANJAR,3769,570,19410
KALIMANTAN SELATAN,BARITO KUALA,2196,199,15667
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,3043,373,17728
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,2625,336,23362
KALIMANTAN SELATAN,HULU SUNGAI UTARA,5038,637,20100
KALIMANTAN SELATAN,KOTA BANJAR BARU,2014,1430,7235
KALIMANTAN SELATAN,KOTA BANJARMASIN,8207,7749,20516
KALIMANTAN SELATAN,KOTA BARU,1209,357,13034
KALIMANTAN SELATAN,TABALONG,1690,499,16884
KALIMANTAN SELATAN,TANAH BUMBU,1759,927,14022
KALIMANTAN SELATAN,TANAH LAUT,1822,317,15354
KALIMANTAN SELATAN,TAPIN,587,65,5715
KALIMANTAN TENGAH,BARITO SELATAN,758,157,6017
KALIMANTAN TENGAH,BARITO TIMUR,385,81,4641
KALIMANTAN TENGAH,BARITO UTARA,1071,124,5932
KALIMANTAN TENGAH,GUNUNG MAS,225,10,1162
KALIMANTAN TENGAH,KAPUAS,3102,599,26443
KALIMANTAN TENGAH,KATINGAN,1078,138,7987
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,1493,1460,6126
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,879,270,8520
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,3022,572,24075
KALIMANTAN TENGAH,LAMANDAU,217,20,2874
KALIMANTAN TENGAH,MURUNG RAYA,601,48,4870
KALIMANTAN TENGAH,PULANG PISAU,885,44,9858
KALIMANTAN TENGAH,SERUYAN,582,110,5923
KALIMANTAN TENGAH,SUKAMARA,384,43,2202
KALIMANTAN TIMUR,BERAU,1005,195,6625
KALIMANTAN TIMUR,KOTA BALIKPAPAN,4382,3980,15865
KALIMANTAN TIMUR,KOTA BONTANG,867,1990,4520
KALIMANTAN TIMUR,KOTA SAMARINDA,3800,6028,17268
KALIMANTAN TIMUR,KUTAI BARAT,906,112,8976
KALIMANTAN TIMUR,KUTAI KARTANEGARA,3130,1293,30738
KALIMANTAN TIMUR,KUTAI TIMUR,3913,1433,16529
KALIMANTAN TIMUR,MAHAKAM HULU,157,26,1905
KALIMANTAN TIMUR,PASER,1640,375,18847
KALIMANTAN TIMUR,PENAJAM PASER UTARA,981,260,9131
KALIMANTAN UTARA,BULUNGAN,600,80,4673
KALIMANTAN UTARA,KOTA TARAKAN,1656,1911,6524
KALIMANTAN UTARA,MALINAU,269,67,4295
KALIMANTAN UTARA,NUNUKAN,1749,738,10243
KALIMANTAN UTARA,TANA TIDUNG,80,5,604
KEPULAUAN BANGKA BELITUNG,BANGKA,976,255,13642
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,198,39,5956
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,521,128,7360
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,539,200,9501
KEPULAUAN BANGKA BELITUNG,BELITUNG,623,175,9141
