Provinsi,NamaKab/Kota,KodeKab/Kota,Bekerja,Tidak Bekerja
JAWA TIMUR,PACITAN,3501,107235,51129
JAWA TIMUR,PAMEKASAN,3528,237305,187070
JAWA TIMUR,PASURUAN,3514,256554,330548
JAWA TIMUR,PONOROGO,3502,179384,141502
JAWA TIMUR,PROBOLINGGO,3513,271536,270479
JAWA TIMUR,SAMPANG,3527,290130,208821
JAWA TIMUR,SIDOARJO,3515,156643,220399
JAWA TIMUR,SITUBONDO,3512,137947,119091
JAWA TIMUR,SUMENEP,3529,307903,202831
JAWA TIMUR,TRENGGALEK,3503,140713,108785
JAWA TIMUR,TUBAN,3523,184431,212616
JAWA TIMUR,TULUNGAGUNG,3504,144991,136906
KALIMANTAN BARAT,BENGKAYANG,6102,35245,39055
KALIMANTAN BARAT,KAPUAS HULU,6108,57640,40810
KALIMANTAN BARAT,KAYONG UTARA,6111,15292,21923
KALIMANTAN BARAT,KETAPANG,6106,57389,74438
KALIMANTAN BARAT,KOTA PONTIANAK,6171,30731,58997
KALIMANTAN BARAT,KOTA SINGKAWANG,6172,22541,31839
KALIMANTAN BARAT,KUBU RAYA,6112,80533,115129
KALIMANTAN BARAT,LANDAK,6103,103469,84572
KALIMANTAN BARAT,MELAWI,6110,31844,27319
KALIMANTAN BARAT,MEMPAWAH,6104,40534,62114
KALIMANTAN BARAT,SAMBAS,6101,73198,73709
KALIMANTAN BARAT,SANGGAU,6105,60257,51168
KALIMANTAN BARAT,SEKADAU,6109,22073,18781
KALIMANTAN BARAT,SINTANG,6107,88065,59999
KALIMANTAN SELATAN,BALANGAN,6311,12559,11949
KALIMANTAN SELATAN,BANJAR,6303,37519,46651
KALIMANTAN SELATAN,BARITO KUALA,6304,26551,38589
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,6306,29570,32603
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,6307,36015,38279
KALIMANTAN SELATAN,HULU SUNGAI UTARA,6308,37481,42789
KALIMANTAN SELATAN,KOTA BANJAR BARU,6372,13738,21471
KALIMANTAN SELATAN,KOTA BANJARMASIN,6371,46297,78209
KALIMANTAN SELATAN,KOTA BARU,6302,19423,33908
KALIMANTAN SELATAN,TABALONG,6309,30135,26668
KALIMANTAN SELATAN,TANAH BUMBU,6310,20251,33624
KALIMANTAN SELATAN,TANAH LAUT,6301,20888,33777
KALIMANTAN SELATAN,TAPIN,6305,10478,11444
KALIMANTAN TENGAH,BARITO SELATAN,6204,10159,13145
KALIMANTAN TENGAH,BARITO TIMUR,6212,8781,7058
KALIMANTAN TENGAH,BARITO UTARA,6205,11408,10657
KALIMANTAN TENGAH,GUNUNG MAS,6211,3194,3560
KALIMANTAN TENGAH,KAPUAS,6203,49676,57286
KALIMANTAN TENGAH,KATINGAN,6209,12340,17948
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,6271,13026,19552
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,6201,11931,19476
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,6202,38659,57267
KALIMANTAN TENGAH,LAMANDAU,6207,4664,5514
KALIMANTAN TENGAH,MURUNG RAYA,6213,10400,13669
KALIMANTAN TENGAH,PULANG PISAU,6210,18801,19493
KALIMANTAN TENGAH,SERUYAN,6208,7614,13367
KALIMANTAN TENGAH,SUKAMARA,6206,3268,5138
KALIMANTAN TIMUR,BERAU,6405,10002,17604
KALIMANTAN TIMUR,KOTA BALIKPAPAN,6471,32067,58897
KALIMANTAN TIMUR,KOTA BONTANG,6474,9905,21505
KALIMANTAN TIMUR,KOTA SAMARINDA,6472,39144,59615
KALIMANTAN TIMUR,KUTAI BARAT,6402,15558,20802
KALIMANTAN TIMUR,KUTAI KARTANEGARA,6403,45090,75161
KALIMANTAN TIMUR,KUTAI TIMUR,6404,28604,48109
KALIMANTAN TIMUR,MAHAKAM HULU,6411,4324,4324
KALIMANTAN TIMUR,PASER,6401,26827,44096
KALIMANTAN TIMUR,PENAJAM PASER UTARA,6409,14731,26169
KALIMANTAN UTARA,BULUNGAN,6502,8494,11471
KALIMANTAN UTARA,KOTA TARAKAN,6571,14498,29184
KALIMANTAN UTARA,MALINAU,6501,8981,9677
KALIMANTAN UTARA,NUNUKAN,6504,20367,34051
KALIMANTAN UTARA,TANA TIDUNG,6503,965,1893
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,20598,27421
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,9404,13198
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,10546,15187
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,13430,20101
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,12587,16949
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,10012,13297
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,10446,18378
KEPULAUAN RIAU,BINTAN,2102,8264,16390
KEPULAUAN RIAU,KARIMUN,2101,18950,30276
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,1022,2366
KEPULAUAN RIAU,KOTA BATAM,2171,43757,96235
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,13966,22323
KEPULAUAN RIAU,LINGGA,2104,8535,15011
KEPULAUAN RIAU,NATUNA,2103,2609,7209
LAMPUNG,KOTA BANDAR LAMPUNG,1871,111006,194753
LAMPUNG,KOTA METRO,1872,12704,18098
LAMPUNG,LAMPUNG BARAT,1801,70753,41517
LAMPUNG,LAMPUNG SELATAN,1803,178697,264264
LAMPUNG,LAMPUNG TENGAH,1805,182185,208654
LAMPUNG,LAMPUNG TIMUR,1804,155310,192846
LAMPUNG,LAMPUNG UTARA,1806,105739,149769
LAMPUNG,MESUJI,1811,32063,37964
LAMPUNG,PESAWARAN,1809,85260,127328
LAMPUNG,PESISIR BARAT,1813,37985,37152
LAMPUNG,PRINGSEWU,1810,50676,74072
LAMPUNG,TANGGAMUS,1802,112233,130050
LAMPUNG,TULANG BAWANG BARAT,1812,33629,39437
LAMPUNG,TULANGBAWANG,1808,58602,82242
LAMPUNG,WAY KANAN,1807,75857,82592
MALUKU,BURU,8104,15167,23031
MALUKU,BURU SELATAN,8109,10949,16086
MALUKU,KEPULAUAN ARU,8105,14339,18623
MALUKU,KOTA AMBON,8171,23428,56321
MALUKU,KOTA TUAL,8172,7291,14433
MALUKU,MALUKU BARAT DAYA,8108,22247,21092
MALUKU,MALUKU TENGAH,8103,49951,113518
MALUKU,MALUKU TENGGARA,8102,16706,21318
MALUKU,MALUKU TENGGARA BARAT,8101,26482,28145
MALUKU,SERAM BAGIAN BARAT,8106,34246,56846
MALUKU,SERAM BAGIAN TIMUR,8107,14200,26303
MALUKU UTARA,HALMAHERA BARAT,8201,13466,16668
MALUKU UTARA,HALMAHERA SELATAN,8204,16294,30184
MALUKU UTARA,HALMAHERA TENGAH,8202,7273,11286
MALUKU UTARA,HALMAHERA TIMUR,8206,11816,14087
MALUKU UTARA,HALMAHERA UTARA,8205,10407,19215
MALUKU UTARA,KEPULAUAN SULA,8203,6000,13353
MALUKU UTARA,KOTA TERNATE,8271,5560,8769
MALUKU UTARA,KOTA TIDORE KEPULAUAN,8272,11232,13556
MALUKU UTARA,PULAU MOROTAI,8207,5859,10427
MALUKU UTARA,PULAU TALIABU,8208,3943,6162
NUSA TENGGARA BARAT,BIMA,5206,80476,127445
NUSA TENGGARA BARAT,DOMPU,5205,38293,64987
NUSA TENGGARA BARAT,KOTA BIMA,5272,19889,33968
NUSA TENGGARA BARAT,KOTA MATARAM,5271,48653,78360
NUSA TENGGARA BARAT,LOMBOK BARAT,5201,124156,195534
NUSA TENGGARA BARAT,LOMBOK TENGAH,5202,169624,293000
NUSA TENGGARA BARAT,LOMBOK TIMUR,5203,232017,412537
NUSA TENGGARA BARAT,LOMBOK UTARA,5208,51820,63866
NUSA TENGGARA BARAT,SUMBAWA,5204,61042,84091
NUSA TENGGARA BARAT,SUMBAWA BARAT,5207,18083,32401
NUSA TENGGARA TIMUR,ALOR,5307,58687,48752
NUSA TENGGARA TIMUR,BELU,5306,35876,47010
NUSA TENGGARA TIMUR,ENDE,5311,59469,53304
NUSA TENGGARA TIMUR,FLORES TIMUR,5309,44947,49135
NUSA TENGGARA TIMUR,KOTA KUPANG,5371,25622,55356
NUSA TENGGARA TIMUR,KUPANG,5303,72901,86794
NUSA TENGGARA TIMUR,LEMBATA,5308,27635,33074
NUSA TENGGARA TIMUR,MALAKA,5321,45811,48178
NUSA TENGGARA TIMUR,MANGGARAI,5313,81375,80430
NUSA TENGGARA TIMUR,MANGGARAI BARAT,5315,63533,76965
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,5319,94320,77643
NUSA TENGGARA TIMUR,NAGEKEO,5318,26367,26145
NUSA TENGGARA TIMUR,NGADA,5312,27442,24797
NUSA TENGGARA TIMUR,ROTE NDAO,5314,31074,39713
NUSA TENGGARA TIMUR,SABU RAIJUA,5320,25270,31383
NUSA TENGGARA TIMUR,SIKKA,5310,70334,71783
NUSA TENGGARA TIMUR,SUMBA BARAT,5301,34434,41696
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,5317,128678,100578
NUSA TENGGARA TIMUR,SUMBA TENGAH,5316,25554,18039
NUSA TENGGARA TIMUR,SUMBA TIMUR,5302,58906,52935
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,5304,140732,140221
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,5305,64614,51973
PAPUA,ASMAT,9415,24184,14901
PAPUA,BIAK NUMFOR,9409,22487,29334
PAPUA,BOVEN DIGOEL,9413,12085,7609
PAPUA,DEIYAI,9436,8693,1677
PAPUA,DOGIYAI,9434,7908,3630
PAPUA,INTAN JAYA,9435,446,137
PAPUA,JAYAPURA,9403,15288,20746
PAPUA,JAYAWIJAYA,9402,27621,4648
PAPUA,KEEROM,9420,11264,9354
PAPUA,KEPULAUAN YAPEN,9408,14477,13085
PAPUA,KOTA JAYAPURA,9471,18976,41962
PAPUA,LANNY JAYA,9430,12037,5349
PAPUA,MAMBERAMO RAYA,9428,1566,1564
PAPUA,MAMBERAMO TENGAH,9431,1713,352
PAPUA,MAPPI,9414,25731,17056
PAPUA,MERAUKE,9401,22547,30489
PAPUA,MIMIKA,9412,18556,28631
PAPUA,NABIRE,9404,14031,16835
PAPUA,NDUGA,9429,0,0
PAPUA,PANIAI,9410,16067,6473
PAPUA,PEGUNUNGAN BINTANG,9417,32873,8721
PAPUA,PUNCAK,9433,28170,4438
PAPUA,PUNCAK JAYA,9411,18586,4465
PAPUA,SARMI,9419,3910,4020
PAPUA,SUPIORI,9427,2952,5575
PAPUA,TOLIKARA,9418,10155,1731
PAPUA,WAROPEN,9426,1592,4302
PAPUA,YAHUKIMO,9416,24880,5744
PAPUA,YALIMO,9432,19963,3229
PAPUA BARAT,FAKFAK,9101,12339,20244
PAPUA BARAT,KAIMANA,9102,8818,9064
PAPUA BARAT,KOTA SORONG,9171,11085,38612
PAPUA BARAT,MANOKWARI,9105,19072,19599
PAPUA BARAT,MANOKWARI SELATAN,9111,9407,4211
PAPUA BARAT,MAYBRAT,9110,9370,4611
PAPUA BARAT,PEGUNUNGAN ARFAK,9112,15231,5538
PAPUA BARAT,RAJA AMPAT,9108,6267,14045
PAPUA BARAT,SORONG,9107,12404,17664
PAPUA BARAT,SORONG SELATAN,9106,8286,7724
PAPUA BARAT,TAMBRAUW,9109,4829,4418
PAPUA BARAT,TELUK BINTUNI,9104,8145,12780
PAPUA BARAT,TELUK WONDAMA,9103,4925,6173
RIAU,BENGKALIS,1408,41091,65972
RIAU,INDRAGIRI HILIR,1403,57543,94235
RIAU,INDRAGIRI HULU,1402,50090,75093
RIAU,KAMPAR,1406,73655,140104
RIAU,KEPULAUAN MERANTI,1410,41284,50496
RIAU,KOTA DUMAI,1473,20781,41796
RIAU,KOTA PEKANBARU,1471,37711,68644
RIAU,KUANTAN SINGINGI,1401,25368,41302
RIAU,PELALAWAN,1404,27725,44520
RIAU,ROKAN HILIR,1409,61680,132131
RIAU,ROKAN HULU,1407,36947,63336
RIAU,S I A K,1405,27654,52858
SULAWESI BARAT,MAJENE,7601,29062,49657
SULAWESI BARAT,MAMASA,7603,43527,38863
SULAWESI BARAT,MAMUJU,7604,31172,41586
SULAWESI BARAT,MAMUJU TENGAH,7606,11639,15291
SULAWESI BARAT,MAMUJU UTARA,7605,15909,23910
SULAWESI BARAT,POLEWALI MANDAR,7602,75089,94305
SULAWESI SELATAN,BANTAENG,7303,24825,34379
SULAWESI SELATAN,BARRU,7310,15420,41424
SULAWESI SELATAN,BONE,7311,120832,171493
SULAWESI SELATAN,BULUKUMBA,7302,42574,77154
SULAWESI SELATAN,ENREKANG,7316,36999,40594
SULAWESI SELATAN,GOWA,7306,95018,159259
SULAWESI SELATAN,JENEPONTO,7304,77380,110519
SULAWESI SELATAN,KEPULAUAN SELAYAR,7301,17146,28199
SULAWESI SELATAN,KOTA MAKASSAR,7371,59252,149589
SULAWESI SELATAN,KOTA PALOPO,7373,8350,24445
SULAWESI SELATAN,KOTA PAREPARE,7372,9329,18928
