Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
NUSA TENGGARA BARAT,LOMBOK TENGAH,5202,104718,23899
NUSA TENGGARA BARAT,LOMBOK TIMUR,5203,157271,31676
NUSA TENGGARA BARAT,LOMBOK UTARA,5208,26495,7247
NUSA TENGGARA BARAT,SUMBAWA,5204,33931,8432
NUSA TENGGARA BARAT,SUMBAWA BARAT,5207,12170,2485
NUSA TENGGARA TIMUR,ALOR,5307,31854,6825
NUSA TENGGARA TIMUR,BELU,5306,26218,6064
NUSA TENGGARA TIMUR,ENDE,5311,32112,5987
NUSA TENGGARA TIMUR,FLORES TIMUR,5309,28905,6153
NUSA TENGGARA TIMUR,KOTA KUPANG,5371,26621,3085
NUSA TENGGARA TIMUR,KUPANG,5303,51778,9647
NUSA TENGGARA TIMUR,LEMBATA,5308,16767,3283
NUSA TENGGARA TIMUR,MALAKA,5321,30523,6480
NUSA TENGGARA TIMUR,MANGGARAI,5313,55810,9952
NUSA TENGGARA TIMUR,MANGGARAI BARAT,5315,48005,7534
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,5319,54288,11654
NUSA TENGGARA TIMUR,NAGEKEO,5318,15627,3141
NUSA TENGGARA TIMUR,NGADA,5312,16248,3074
NUSA TENGGARA TIMUR,ROTE NDAO,5314,21469,4091
NUSA TENGGARA TIMUR,SABU RAIJUA,5320,18294,3004
NUSA TENGGARA TIMUR,SIKKA,5310,38946,9581
NUSA TENGGARA TIMUR,SUMBA BARAT,5301,27371,3678
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,5317,84011,14755
NUSA TENGGARA TIMUR,SUMBA TENGAH,5316,15581,1797
NUSA TENGGARA TIMUR,SUMBA TIMUR,5302,36374,6489
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,5304,86019,16759
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,5305,35670,7021
PAPUA,ASMAT,9415,6929,6683
PAPUA,BIAK NUMFOR,9409,15727,2225
PAPUA,BOVEN DIGOEL,9413,5294,2192
PAPUA,DEIYAI,9436,2894,1283
PAPUA,DOGIYAI,9434,1871,1201
PAPUA,INTAN JAYA,9435,105,81
PAPUA,JAYAPURA,9403,10339,3057
PAPUA,JAYAWIJAYA,9402,4480,2206
PAPUA,KEEROM,9420,5135,1072
PAPUA,KEPULAUAN YAPEN,9408,6716,2070
PAPUA,KOTA JAYAPURA,9471,15706,3253
PAPUA,LANNY JAYA,9430,1638,4005
PAPUA,MAMBERAMO RAYA,9428,890,407
PAPUA,MAMBERAMO TENGAH,9431,231,557
PAPUA,MAPPI,9414,9887,6989
PAPUA,MERAUKE,9401,14755,3469
PAPUA,MIMIKA,9412,11796,4609
PAPUA,NABIRE,9404,6261,2369
PAPUA,NDUGA,9429,0,0
PAPUA,PANIAI,9410,6667,1371
PAPUA,PEGUNUNGAN BINTANG,9417,4771,10412
PAPUA,PUNCAK,9433,552,5125
PAPUA,PUNCAK JAYA,9411,2057,5111
PAPUA,SARMI,9419,2246,625
PAPUA,SUPIORI,9427,2915,431
PAPUA,TOLIKARA,9418,1260,1574
PAPUA,WAROPEN,9426,1604,367
PAPUA,YAHUKIMO,9416,2163,6614
PAPUA,YALIMO,9432,2241,8223
PAPUA BARAT,FAKFAK,9101,9615,1563
PAPUA BARAT,KAIMANA,9102,5097,1874
PAPUA BARAT,KOTA SORONG,9171,15342,3547
PAPUA BARAT,MANOKWARI,9105,9700,3422
PAPUA BARAT,MANOKWARI SELATAN,9111,2971,1607
PAPUA BARAT,MAYBRAT,9110,3488,736
PAPUA BARAT,PEGUNUNGAN ARFAK,9112,3169,2965
PAPUA BARAT,RAJA AMPAT,9108,7005,1239
PAPUA BARAT,SORONG,9107,8759,1795
PAPUA BARAT,SORONG SELATAN,9106,5438,1315
PAPUA BARAT,TAMBRAUW,9109,2651,869
PAPUA BARAT,TELUK BINTUNI,9104,6418,1660
PAPUA BARAT,TELUK WONDAMA,9103,3360,1015
RIAU,BENGKALIS,1408,26733,7244
RIAU,INDRAGIRI HILIR,1403,35530,13431
RIAU,INDRAGIRI HULU,1402,30767,8672
RIAU,KAMPAR,1406,59516,10386
RIAU,KEPULAUAN MERANTI,1410,22096,5764
RIAU,KOTA DUMAI,1473,18269,3505
RIAU,KOTA PEKANBARU,1471,34028,5160
RIAU,KUANTAN SINGINGI,1401,16485,3528
RIAU,PELALAWAN,1404,19017,4799
RIAU,ROKAN HILIR,1409,54812,12060
RIAU,ROKAN HULU,1407,25262,7256
RIAU,S I A K,1405,22140,4488
SULAWESI BARAT,MAJENE,7601,23988,6023
SULAWESI BARAT,MAMASA,7603,24050,6316
SULAWESI BARAT,MAMUJU,7604,20890,6512
SULAWESI BARAT,MAMUJU TENGAH,7606,7706,2169
SULAWESI BARAT,MAMUJU UTARA,7605,11820,3486
SULAWESI BARAT,POLEWALI MANDAR,7602,45666,13554
SULAWESI SELATAN,BANTAENG,7303,11364,6342
SULAWESI SELATAN,BARRU,7310,13403,3409
SULAWESI SELATAN,BONE,7311,62940,20835
SULAWESI SELATAN,BULUKUMBA,7302,25502,9093
SULAWESI SELATAN,ENREKANG,7316,23539,4016
SULAWESI SELATAN,GOWA,7306,60311,15914
SULAWESI SELATAN,JENEPONTO,7304,40913,14299
