Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
RIAU,KOTA PEKANBARU,26473,208,307
RIAU,KUANTAN SINGINGI,17689,522,1459
RIAU,PELALAWAN,9825,5711,4611
RIAU,ROKAN HILIR,38606,6641,5249
RIAU,ROKAN HULU,18705,7047,3764
RIAU,S I A K,14180,5483,2387
RIAU,TOTAL,54230,50624,0
SULAWESI BARAT,MAJENE,15393,1265,1446
SULAWESI BARAT,MAMASA,3348,12263,5107
SULAWESI BARAT,MAMUJU,10914,2840,4824
SULAWESI BARAT,MAMUJU TENGAH,3355,1401,2139
SULAWESI BARAT,MAMUJU UTARA,4064,3601,2303
SULAWESI BARAT,POLEWALI MANDAR,32650,6241,4044
SULAWESI BARAT,TOTAL,27611,19863,0
SULAWESI SELATAN,BANTAENG,14752,793,1293
SULAWESI SELATAN,BARRU,13690,913,1922
SULAWESI SELATAN,BONE,69445,2743,7967
SULAWESI SELATAN,BULUKUMBA,32415,493,2625
SULAWESI SELATAN,ENREKANG,16811,1806,1202
SULAWESI SELATAN,GOWA,66975,905,2147
SULAWESI SELATAN,JENEPONTO,50619,329,661
SULAWESI SELATAN,KEPULAUAN SELAYAR,6495,4954,2126
SULAWESI SELATAN,KOTA MAKASSAR,49140,1214,162
SULAWESI SELATAN,KOTA PALOPO,6999,4,272
SULAWESI SELATAN,KOTA PAREPARE,7053,0,83
SULAWESI SELATAN,LUWU,24725,3755,5217
SULAWESI SELATAN,LUWU TIMUR,15215,997,2301
SULAWESI SELATAN,LUWU UTARA,24675,4524,2764
SULAWESI SELATAN,MAROS,26701,1497,2290
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,23864,5312,2911
SULAWESI SELATAN,PINRANG,19800,2246,961
SULAWESI SELATAN,SIDENRENG RAPPANG,19354,912,1164
SULAWESI SELATAN,SINJAI,16516,1332,3023
SULAWESI SELATAN,SOPPENG,18156,1032,2464
SULAWESI SELATAN,TAKALAR,32663,830,645
SULAWESI SELATAN,TANA TORAJA,14024,6618,3615
SULAWESI SELATAN,TORAJA UTARA,18323,3039,2303
SULAWESI SELATAN,TOTAL,46853,53772,0
SULAWESI SELATAN,WAJO,25625,605,3654
SULAWESI TENGAH,BANGGAI,27844,2139,5149
SULAWESI TENGAH,BANGGAI KEPULAUAN,5585,1745,4861
SULAWESI TENGAH,BANGGAI LAUT,2300,911,1058
SULAWESI TENGAH,BUOL,8400,1435,3566
SULAWESI TENGAH,DONGGALA,20442,3519,8335
SULAWESI TENGAH,KOTA PALU,12786,118,299
SULAWESI TENGAH,MOROWALI,5312,3591,1109
SULAWESI TENGAH,MOROWALI UTARA,6139,1306,2446
SULAWESI TENGAH,PARIGI MOUTONG,32969,1392,9627
SULAWESI TENGAH,POSO,21768,631,1838
SULAWESI TENGAH,SIGI,14602,2227,5254
SULAWESI TENGAH,TOJO UNA-UNA,7069,3077,4207
SULAWESI TENGAH,TOLI-TOLI,14158,1454,3637
